[2025-10-15 13:37:10+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:12+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:14+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:16+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:18+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:20+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:22+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:24+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:26+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:28+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:30+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:32+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:34+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:36+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:38+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:40+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:42+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:44+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:46+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:48+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:50+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:52+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:54+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:56+0300] [INFO] Waiting for model server health...
[2025-10-15 13:37:58+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:00+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:02+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:04+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:06+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:08+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:10+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:12+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:14+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:16+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:18+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:20+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:22+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:24+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:26+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:28+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:30+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:32+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:34+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:36+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:38+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:40+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:42+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:44+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:46+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:48+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:50+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:52+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:54+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:56+0300] [INFO] Waiting for model server health...
[2025-10-15 13:38:58+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:00+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:02+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:04+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:06+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:08+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:10+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:12+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:14+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:16+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:18+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:20+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:22+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:24+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:27+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:29+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:31+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:33+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:35+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:37+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:39+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:41+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:43+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:45+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:47+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:49+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:51+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:53+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:55+0300] [INFO] Waiting for model server health...
🦥 Unsloth Zoo will now patch everything to make training faster!
[2025-10-15 13:39:57+0300] [INFO] Waiting for model server health...
[2025-10-15 13:39:59+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:01+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:03+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:05+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:07+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:09+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:11+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:13+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:15+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:17+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:19+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:21+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:23+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:25+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:27+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:29+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:31+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:33+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:35+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:37+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:39+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:41+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:43+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:45+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:47+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:49+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:51+0300] [INFO] Waiting for model server health...
[2025-10-15 13:40:53+0300] [ERROR] Health check timed out.
[2025-10-15 13:40:53+0300] ========== DIAGNOSTICS (rc=1) ==========
Wed Oct 15 13:40:53 EEST 2025
JobID                   JobName      State ExitCode DerivedExitCode    Elapsed  Timelimit    ReqTRES  AllocTRES             NodeList                 End                         Reason        Comment 
------------ ------------------ ---------- -------- --------------- ---------- ---------- ---------- ---------- -------------------- ------------------- ------------------------------ -------------- 
218937              compression    RUNNING      0:0             0:0   00:06:43   12:00:00 billing=1+ billing=1+    dgxa100-ncit-wn02             Unknown                           None                
218937.batch              batch    RUNNING      0:0                   00:06:43                       cpu=1,gre+    dgxa100-ncit-wn02             Unknown                                               
218937.exte+             extern    RUNNING      0:0                   00:06:43                       billing=1+    dgxa100-ncit-wn02             Unknown                                               
218937.0                   bash    RUNNING      0:0                   00:06:42                       cpu=1,gre+    dgxa100-ncit-wn02             Unknown                                               
JobId=218937 JobName=compression
   UserId=ovidiu.ghibea(109059) GroupId=studfils(9016) MCS_label=N/A
   Priority=1 Nice=0 Account=student QOS=normal
   JobState=RUNNING Reason=None Dependency=(null)
   Requeue=0 Restarts=0 BatchFlag=1 Reboot=0 ExitCode=0:0
   DerivedExitCode=0:0
   RunTime=00:06:43 TimeLimit=12:00:00 TimeMin=N/A
   SubmitTime=2025-10-15T13:34:10 EligibleTime=2025-10-15T13:34:10
